工号,异动日期,异动类型,异动前部门,异动后部门,异动前岗位,异动后岗位,备注
EMP0057,2022-03-12,转正,公共事务部,公共事务部,政府关系,政府关系,试用期通过，正式转正
EMP0057,2023-12-31,调岗,公共事务部,公共事务部,政府关系,政府关系,内部调岗调整
EMP0058,2024-06-14,入职,,专家智库部,,首席专家,新员工入职，大专学历
EMP0058,2024-09-13,转正,专家智库部,专家智库部,首席专家,首席专家,试用期通过，正式转正
EMP0059,2024-09-07,入职,,财税管理部,,税务经理,新员工入职，硕士学历
EMP0059,2024-12-20,转正,财税管理部,财税管理部,税务经理,税务经理,试用期通过，正式转正
EMP0060,2023-09-04,入职,,专家智库部,,咨询顾问,新员工入职，硕士学历
EMP0060,2024-01-07,转正,专家智库部,专家智库部,咨询顾问,咨询顾问,试用期通过，正式转正
EMP0061,2022-05-24,入职,,董事会办公室,,董事会事务专员,新员工入职，硕士学历
EMP0061,2022-09-11,转正,董事会办公室,董事会办公室,董事会事务专员,董事会事务专员,试用期通过，正式转正
EMP0062,2021-10-16,入职,,数字化营销部,,营销总监,新员工入职，硕士学历
EMP0062,2022-02-12,转正,数字化营销部,数字化营销部,营销总监,营销总监,试用期通过，正式转正
EMP0063,2020-08-26,入职,,运营管理部,,供应链运营,新员工入职，本科学历
EMP0063,2021-01-17,转正,运营管理部,运营管理部,供应链运营,供应链运营,试用期通过，正式转正
EMP0063,2025-11-25,离职,运营管理部,,供应链运营,,离职原因：家庭原因
EMP0064,2024-06-21,入职,,运营管理部,,运营专员,新员工入职，本科学历
EMP0064,2024-09-20,转正,运营管理部,运营管理部,运营专员,运营专员,试用期通过，正式转正
EMP0064,2026-10-06,晋升,运营管理部,运营管理部,运营专员,运营专员,职级晋升
EMP0065,2022-08-02,入职,,公共事务部,,品牌公关,新员工入职，本科学历
EMP0065,2022-11-20,转正,公共事务部,公共事务部,品牌公关,品牌公关,试用期通过，正式转正
EMP0066,2018-11-04,入职,,业财一体化部,,财务BA,新员工入职，本科学历
EMP0066,2019-04-16,转正,业财一体化部,业财一体化部,财务BA,财务BA,试用期通过，正式转正
EMP0067,2024-04-20,入职,,集团总行部,,研究经理,新员工入职，硕士学历
EMP0067,2024-09-10,转正,集团总行部,集团总行部,研究经理,研究经理,试用期通过，正式转正
EMP0067,2025-11-14,离职,集团总行部,,研究经理,,离职原因：个人原因
EMP0068,2025-12-06,入职,,运营管理部,,运营数据分析,新员工入职，硕士学历
EMP0068,2026-03-06,转正,运营管理部,运营管理部,运营数据分析,运营数据分析,试用期通过，正式转正
EMP0069,2020-07-06,入职,,董事会办公室,,董事长助理,新员工入职，博士学历
EMP0069,2020-12-25,转正,董事会办公室,董事会办公室,董事长助理,董事长助理,试用期通过，正式转正
EMP0070,2025-07-08,入职,,运营管理部,,运营主管,新员工入职，本科学历
EMP0070,2025-11-05,转正,运营管理部,运营管理部,运营主管,运营主管,试用期通过，正式转正
EMP0071,2019-12-07,入职,,业财一体化部,,流程优化,新员工入职，本科学历
EMP0071,2020-03-12,转正,业财一体化部,业财一体化部,流程优化,流程优化,试用期通过，正式转正
EMP0071,2021-10-27,调岗,业财一体化部,业财一体化部,流程优化,流程优化,内部调岗调整
EMP0072,2024-12-14,入职,,数字化营销部,,营销总监,新员工入职，博士学历
EMP0072,2025-06-11,转正,数字化营销部,数字化营销部,营销总监,营销总监,试用期通过，正式转正
EMP0073,2024-02-02,入职,,公共事务部,,品牌公关,新员工入职，硕士学历
EMP0073,2024-05-06,转正,公共事务部,公共事务部,品牌公关,品牌公关,试用期通过，正式转正
EMP0073,2026-03-07,调岗,公共事务部,公共事务部,品牌公关,品牌公关,内部调岗调整
EMP0074,2020-09-01,入职,,数字化营销部,,营销总监,新员工入职，大专学历
EMP0074,2021-02-13,转正,数字化营销部,数字化营销部,营销总监,营销总监,试用期通过，正式转正
EMP0074,2023-08-11,调岗,数字化营销部,数字化营销部,营销总监,营销总监,内部调岗调整
EMP0075,2025-12-02,入职,,预算管理部,,资金管理,新员工入职，本科学历
EMP0075,2026-03-27,转正,预算管理部,预算管理部,资金管理,资金管理,试用期通过，正式转正
EMP0075,2028-12-14,晋升,预算管理部,预算管理部,资金管理,资金管理,职级晋升
EMP0076,2023-11-20,入职,,业财一体化部,,财务BA,新员工入职，本科学历
EMP0076,2024-04-04,转正,业财一体化部,业财一体化部,财务BA,财务BA,试用期通过，正式转正
EMP0076,2027-10-14,晋升,业财一体化部,业财一体化部,财务BA,财务BA,职级晋升
EMP0077,2021-08-27,入职,,运营管理部,,运营数据分析,新员工入职，博士学历
EMP0077,2021-11-28,转正,运营管理部,运营管理部,运营数据分析,运营数据分析,试用期通过，正式转正
EMP0078,2024-01-25,入职,,董事会办公室,,董事长助理,新员工入职，硕士学历
EMP0078,2024-06-25,转正,董事会办公室,董事会办公室,董事长助理,董事长助理,试用期通过，正式转正
EMP0078,2026-05-04,调岗,董事会办公室,董事会办公室,董事长助理,董事长助理,内部调岗调整
EMP0079,2018-03-09,入职,,预算管理部,,资金管理,新员工入职，本科学历
EMP0079,2018-07-14,转正,预算管理部,预算管理部,资金管理,资金管理,试用期通过，正式转正
EMP0079,2020-09-12,调岗,预算管理部,预算管理部,资金管理,资金管理,内部调岗调整
EMP0080,2025-07-10,离职,公共事务部,,品牌公关,,离职原因：创业
EMP0080,2025-12-19,入职,,公共事务部,,品牌公关,新员工入职，硕士学历
EMP0080,2026-06-03,转正,公共事务部,公共事务部,品牌公关,品牌公关,试用期通过，正式转正
EMP0081,2018-08-13,入职,,业财一体化部,,流程优化,新员工入职，硕士学历
EMP0081,2019-02-08,转正,业财一体化部,业财一体化部,流程优化,流程优化,试用期通过，正式转正
EMP0081,2020-03-20,调岗,业财一体化部,业财一体化部,流程优化,流程优化,内部调岗调整
EMP0082,2023-02-27,入职,,专家智库部,,首席专家,新员工入职，博士学历
EMP0082,2023-07-17,转正,专家智库部,专家智库部,首席专家,首席专家,试用期通过，正式转正
EMP0083,2024-01-26,入职,,集团总行部,,行研总监,新员工入职，大专学历
EMP0083,2024-07-08,转正,集团总行部,集团总行部,行研总监,行研总监,试用期通过，正式转正
EMP0083,2026-10-07,调岗,集团总行部,集团总行部,行研总监,行研总监,内部调岗调整
EMP0084,2025-08-27,入职,,运营管理部,,供应链运营,新员工入职，本科学历
EMP0084,2025-12-24,转正,运营管理部,运营管理部,供应链运营,供应链运营,试用期通过，正式转正
EMP0085,2025-10-05,入职,,运营管理部,,客户运营,新员工入职，本科学历
EMP0085,2026-01-10,转正,运营管理部,运营管理部,客户运营,客户运营,试用期通过，正式转正
EMP0086,2020-10-18,入职,,集团总行部,,数据研究,新员工入职，本科学历
EMP0086,2021-02-12,转正,集团总行部,集团总行部,数据研究,数据研究,试用期通过，正式转正
EMP0086,2025-01-03,晋升,集团总行部,集团总行部,数据研究,数据研究,职级晋升
EMP0087,2021-10-19,入职,,数字化营销部,,内容运营,新员工入职，硕士学历
EMP0087,2022-02-11,转正,数字化营销部,数字化营销部,内容运营,内容运营,试用期通过，正式转正
EMP0087,2024-03-22,晋升,数字化营销部,数字化营销部,内容运营,内容运营,职级晋升
EMP0087,2024-06-11,调岗,数字化营销部,数字化营销部,内容运营,内容运营,内部调岗调整
EMP0088,2024-09-23,入职,,董事会办公室,,董事长助理,新员工入职，硕士学历
EMP0088,2025-02-14,转正,董事会办公室,董事会办公室,董事长助理,董事长助理,试用期通过，正式转正
EMP0089,2019-11-19,入职,,业财一体化部,,财务BA,新员工入职，博士学历
EMP0089,2020-04-12,转正,业财一体化部,业财一体化部,财务BA,财务BA,试用期通过，正式转正
EMP0089,2021-06-03,调岗,业财一体化部,业财一体化部,财务BA,财务BA,内部调岗调整
EMP0090,2021-10-08,入职,,数字化营销部,,营销总监,新员工入职，本科学历
EMP0090,2022-02-13,转正,数字化营销部,数字化营销部,营销总监,营销总监,试用期通过，正式转正
EMP0091,2022-08-16,入职,,集团总行部,,行研总监,新员工入职，硕士学历
EMP0091,2022-12-09,转正,集团总行部,集团总行部,行研总监,行研总监,试用期通过，正式转正
EMP0091,2027-05-23,晋升,集团总行部,集团总行部,行研总监,行研总监,职级晋升
EMP0092,2025-10-07,入职,,预算管理部,,预算经理,新员工入职，硕士学历
EMP0092,2026-02-05,转正,预算管理部,预算管理部,预算经理,预算经理,试用期通过，正式转正
EMP0092,2029-10-02,晋升,预算管理部,预算管理部,预算经理,预算经理,职级晋升
EMP0093,2015-08-01,入职,,公共事务部,,公共事务总监,新员工入职，本科学历
EMP0093,2015-11-15,转正,公共事务部,公共事务部,公共事务总监,公共事务总监,试用期通过，正式转正
EMP0093,2018-03-01,晋升,公共事务部,公共事务部,公共事务总监,公共事务总监,职级晋升：高级 → 总监
EMP0093,2019-06-15,调岗,公共事务部,董事会办公室,公共事务总监,董事会事务专员,核心管理层任命，调入董事会办公室
EMP0093,2024-03-12,调岗,董事会办公室,董事会办公室,董事会事务专员,董事会事务专员,职责范围调整
EMP0093,2024-08-01,晋升,董事会办公室,董事会办公室,董事会事务专员,董事会事务专员,职级晋升：总监 → VP
EMP0094,2015-06-01,入职,,集团总行部,,战略分析,新员工入职，本科学历
EMP0094,2015-09-15,转正,集团总行部,集团总行部,战略分析,战略分析,试用期通过，正式转正
EMP0094,2018-12-01,晋升,集团总行部,集团总行部,战略分析,战略分析,职级晋升：高级 → 总监
EMP0094,2020-01-10,调岗,集团总行部,董事会办公室,战略分析,董事会事务专员,核心管理层任命，调入董事会办公室
EMP0094,2021-06-18,晋升,董事会办公室,董事会办公室,董事会事务专员,董事会事务专员,职级晋升：总监（保持）
EMP0095,2017-09-01,入职,,数字化营销部,,数字营销经理,新员工入职，本科学历
EMP0095,2017-12-15,转正,数字化营销部,数字化营销部,数字营销经理,数字营销经理,试用期通过，正式转正
EMP0095,2019-01-16,晋升,数字化营销部,数字化营销部,数字营销经理,数字营销经理,职级晋升：高级 → 总监
EMP0095,2019-03-20,调岗,数字化营销部,董事会办公室,数字营销经理,董事长助理,晋升为董事长助理，调入董事会办公室
EMP0095,2019-12-25,离职,董事会办公室,,董事长助理,,主动离职，因职业发展机会
